,component,cui,name
1269,vascular disease,S-14977000,Multiple AND bilateral precerebral artery thrombosis (disorder)
1270,vascular disease,S-735897000,Injury of plantar artery of foot (disorder)
1271,vascular disease,S-232045007,Hemispheric retinal vein occlusion with macular edema (disorder)
1272,vascular disease,S-735572005,Acute occlusion of artery of upper limb (disorder)
1273,vascular disease,S-277196008,Berry aneurysm (disorder)
1274,vascular disease,S-427776007,Thrombosis of the popliteal vein (disorder)
1275,vascular disease,S-186567003,Rubella with neurological complication (disorder)
1276,vascular disease,S-460966003,Anomalous origin of ligamentum arteriosum from left carotid artery (disorder)
1277,vascular disease,S-425963007,Aneurysm of ascending aorta (disorder)
1278,vascular disease,S-58872001,Erythema elevatum diutinum (disorder)
1279,vascular disease,S-722929005,Perinatal arterial ischemic stroke (disorder)
1280,vascular disease,S-16012511000119101,Embolism of artery of left lower limb (disorder)
1281,vascular disease,S-33456005,Aneurysm of mediastinal artery (disorder)
1282,vascular disease,S-15648731000119101,Atherosclerosis of right renal artery (disorder)
1283,vascular disease,S-15988351000119101,Acquired right carotid cavernous fistula (disorder)
1284,vascular disease,S-90958004,Thrombosis of arteries of lower extremity (disorder)
1285,vascular disease,S-218728005,Interrupted aortic arch (disorder)
1286,vascular disease,S-90099008,Subcortical leukoencephalopathy (disorder)
1287,vascular disease,S-10749961000119104,Occlusion of aortoiliac artery (disorder)
1288,vascular disease,S-20427003,Postphlebitic syndrome (disorder)
1289,vascular disease,S-404223003,Deep venous thrombosis of lower extremity (disorder)
1290,vascular disease,S-724427002,Asymptomatic stenosis of intracranial artery (disorder)
1291,vascular disease,S-472128009,Tortuosity of branch of aortic arch (disorder)
1292,vascular disease,S-301432000,Aneurysm of head and neck artery (disorder)
1293,vascular disease,S-74918002,Measles myocarditis (disorder)
1294,vascular disease,S-276224003,Multiple unruptured cerebral aneurysms (disorder)
1295,vascular disease,S-9901000119100,Occlusion of cerebral artery with stroke (disorder)
1296,vascular disease,S-230721009,Cerebral venous thrombosis of sigmoid sinus (disorder)
1297,vascular disease,S-448842002,Aortico-left ventricular tunnel of simple type (disorder)
1298,vascular disease,S-238768003,Secondary idiopathic telangiectasia (disorder)
1299,vascular disease,S-449119000,Obstruction of aortic outflow (disorder)
1300,vascular disease,S-297175006,Profunda femoris aneurysm (disorder)
1301,vascular disease,S-132591000119109,Acute thrombosis of superficial vein of upper extremity (disorder)
1302,vascular disease,S-109381003,Sclerosis of saphenous vein (disorder)
1303,vascular disease,S-12237791000119102,Acute thrombosis of superficial vein of bilateral upper limbs (disorder)
1304,vascular disease,S-210833003,"Closed injury, brachial artery (disorder)"
1305,vascular disease,S-285201000119100,Right carotid artery stenosis (disorder)
1306,vascular disease,S-15648601000119102,Atherosclerosis of artery of right upper limb (disorder)
1307,vascular disease,S-9058002,Duodenoaortic fistula (disorder)
1308,vascular disease,S-186552002,Herpesviral vesicular dermatitis (disorder)
1309,vascular disease,S-26825009,Cutis marmorata (disorder)
1310,vascular disease,S-297152004,Internal iliac artery thrombosis (disorder)
1311,vascular disease,S-24624008,Aneurysm of internal carotid artery (disorder)
1312,vascular disease,S-402860008,Febrile ulceronecrotic pityriasis lichenoides acuta (disorder)
1313,vascular disease,S-461609000,Acquired luminal obstruction of aortic arch (disorder)
1314,vascular disease,S-95237001,Retroesophageal subclavian artery (disorder)
1315,vascular disease,S-703533007,Capillary malformation-arteriovenous malformation syndrome (disorder)
1316,vascular disease,S-713035000,Dissection of precerebral artery (disorder)
1317,vascular disease,S-195234007,Occlusion and stenosis of posterior cerebral artery (disorder)
1318,vascular disease,S-111697005,Injury of popliteal vein (disorder)
1319,vascular disease,S-445176007,Congenital dilation of ascending aorta (disorder)
1320,vascular disease,S-99451000119105,Cerebral infarction due to stenosis of carotid artery (disorder)
1321,vascular disease,S-427184002,Thrombosis of ulnar artery (disorder)
1322,vascular disease,S-56253000,Parapsoriasis en plaques (disorder)
1323,vascular disease,S-40450001,Embolism of superior sagittal sinus (disorder)
1324,vascular disease,S-302300004,Femoral popliteal occlusion (disorder)
1325,vascular disease,S-195319003,Embolism and thrombosis of the brachial artery (disorder)
1326,vascular disease,S-16014631000119103,Thrombophlebitis of vein of left lower limb (disorder)
1327,vascular disease,S-210847004,Injury of deep palmar arch (disorder)
1328,vascular disease,S-59877000,Congenital anomaly of aorta (disorder)
1329,vascular disease,S-87730004,Capillary leak syndrome (disorder)
1330,vascular disease,S-95337003,Extensive lipodermatosclerosis (disorder)
1331,vascular disease,S-275363001,Rupture of superficial cerebral vein (disorder)
1332,vascular disease,S-240483006,Atypical measles (disorder)
1333,vascular disease,S-447928009,Double aortic arch with balanced arches (disorder)
1334,vascular disease,S-253615009,Anomalies of the aorta excluding coarction (disorder)
1335,vascular disease,S-90478004,Venous star (disorder)
1336,vascular disease,S-16013151000119102,Thrombosis of left common femoral artery (disorder)
1337,vascular disease,S-473449006,Disease of non-coronary systemic artery (disorder)
1338,vascular disease,S-5626004,Varicose veins of legs complicating pregnancy AND/OR puerperium (disorder)
1339,vascular disease,S-53312001,Vasculitis of the skin (disorder)
1340,vascular disease,S-403708002,Telangiectasia following surgery (disorder)
1341,vascular disease,S-116291000119103,Occlusion of renal artery due to embolism (disorder)
1342,vascular disease,S-297140006,Inferior mesenteric artery embolus (disorder)
1343,vascular disease,S-19431000,Arthritis co-occurrent and due to rubella (disorder)
1344,vascular disease,S-297154003,Subclavian artery thrombosis (disorder)
1345,vascular disease,S-16006191000119103,Thrombophlebitis of superficial vein of left upper limb (disorder)
1346,vascular disease,S-16014711000119101,Occlusion of right popliteal artery (disorder)
1347,vascular disease,S-211236007,Scalenus anticus syndrome (disorder)
1348,vascular disease,S-210907005,Multiple leg blood vessel injury (disorder)
1349,vascular disease,S-16013111000119103,Thrombosis of right common femoral artery (disorder)
1350,vascular disease,S-210836006,"Closed injury, radial artery (disorder)"
1351,vascular disease,S-307816004,Leriche's syndrome (disorder)
1352,vascular disease,S-402847002,Acquired arteriovenous malformation of the skin (disorder)
1353,vascular disease,S-285381000119104,Acute deep vein thrombosis of bilateral femoral veins (disorder)
1354,vascular disease,S-405556007,Stenosis of lower limb artery (disorder)
1355,vascular disease,S-61687004,Endophlebitis of inferior sagittal sinus (disorder)
1356,vascular disease,S-192757005,Embolism transverse sinus (disorder)
1357,vascular disease,S-723336008,Fallot complex with intellectual disability and growth delay syndrome (disorder)
1358,vascular disease,S-16019471000119104,Atherosclerosis of left iliac artery (disorder)
1359,vascular disease,S-12237231000119107,Pain at rest of right lower limb co-occurrent and due to atherosclerosis (disorder)
1360,vascular disease,S-195277008,Internal iliac aneurysm (disorder)
1361,vascular disease,S-312374002,Post-radiological femoral false aneurysm (disorder)
1362,vascular disease,S-297713002,Varicose veins of lower extremity without ulcer AND without inflammation (disorder)
1363,vascular disease,S-460890003,Anomalous common origin of brachiocephalic artery and left common carotid artery (disorder)
1364,vascular disease,S-764965000,Familial thoracic aortic aneurysm and aortic dissection (disorder)
1365,vascular disease,S-234243005,Inadequate aortic balloon augmentation (disorder)
1366,vascular disease,S-12232008,Syphilitic aneurysm of aorta (disorder)
1367,vascular disease,S-65084004,Vertebral artery embolism (disorder)
1368,vascular disease,S-197000003,Superior mesenteric artery thrombosis (disorder)
1369,vascular disease,S-80606009,Carotid artery embolism (disorder)
1370,vascular disease,S-15649861000119105,Aneurysm of artery of left upper limb (disorder)
1371,vascular disease,S-210850001,"Open injury, digital artery (disorder)"
1372,vascular disease,S-276275000,Unruptured aneurysm of basilar artery (disorder)
1373,vascular disease,S-195199008,Vertebrobasilar artery syndrome (disorder)
1374,vascular disease,S-247212009,Retinociliary vein (disorder)
1375,vascular disease,S-19474002,Injury of common carotid artery (disorder)
1376,vascular disease,S-210872004,Lesser saphenous vein injury (disorder)
1377,vascular disease,S-431706008,Occlusion of artery of upper extremity (disorder)
1378,vascular disease,S-74883004,Thoracic aortic aneurysm without rupture (disorder)
1379,vascular disease,S-213217008,Peripheral vascular complications of care (disorder)
1380,vascular disease,S-703226008,Familial cerebral saccular aneurysm (disorder)
1381,vascular disease,S-403651008,Corticosteroid-induced telangiectasia (disorder)
1382,vascular disease,S-371041009,Embolic stroke (disorder)
1383,vascular disease,S-232043000,Hemispheric retinal vein occlusion (disorder)
1384,vascular disease,S-153911000119104,Peripheral arterial insufficiency (disorder)
1385,vascular disease,S-7931000119101,Anterior choroidal artery thrombosis (disorder)
1386,vascular disease,S-74725000,Erythrocyanosis (disorder)
1387,vascular disease,S-448280008,Malalignment of aortic sinus in relation to pulmonary sinus (disorder)
1388,vascular disease,S-312825008,Common iliac artery occlusion (disorder)
1389,vascular disease,S-447703009,Double aortic arch with left arch dominant and coarctation of right arch (disorder)
1390,vascular disease,S-25412000,Diabetic retinal microaneurysm (disorder)
1391,vascular disease,S-195321008,Embolism and thrombosis of the ulnar artery (disorder)
1392,vascular disease,S-233997009,Dissection of distal aorta (disorder)
1393,vascular disease,S-402969008,Erythema nodosum due to streptococcal infection (disorder)
1394,vascular disease,S-31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder)
1395,vascular disease,S-460906001,Vascular ring with mirror image branching of right aortic arch and left ligamentum arteriosum (disorder)
1396,vascular disease,S-311808009,Aberrant retroesophageal subclavian artery causing dysphagia lusoria (disorder)
1397,vascular disease,S-312594005,Head and neck arterial thrombosis (disorder)
1398,vascular disease,S-762652006,Occlusion of left posterior cerebral artery by embolus (disorder)
1399,vascular disease,S-735574006,Acute occlusion of artery of lower limb (disorder)
1400,vascular disease,S-461400007,Anomalous origin of ligamentum arteriosum from aortic diverticulum (disorder)
1401,vascular disease,S-111299004,Atheroma of cerebral arteries (disorder)
1402,vascular disease,S-312829002,Common femoral artery stenosis (disorder)
1403,vascular disease,S-447846002,Obstruction of ascending aorta (disorder)
1404,vascular disease,S-15988391000119106,Acquired left carotid cavernous fistula (disorder)
1405,vascular disease,S-448577008,Muscular subvalvar atresia of aorta (disorder)
1406,vascular disease,S-297176007,Vertebral artery aneurysm (disorder)
1407,vascular disease,S-16289341000119108,Dissection of right subclavian artery (disorder)
1408,vascular disease,S-3681008,Thrombophlebitis of torcular Herophili (disorder)
1409,vascular disease,S-307319004,Rupture subclavian artery (disorder)
1410,vascular disease,S-93305002,Congenital malposition of aorta (disorder)
1411,vascular disease,S-724442004,Dissection of ascending aorta and aortic arch (disorder)
1412,vascular disease,S-195289005,Inferior mesenteric aneurysm (disorder)
1413,vascular disease,S-297151006,External iliac artery thrombosis (disorder)
1414,vascular disease,S-238812004,Exanthematous disorder (disorder)
1415,vascular disease,S-34730008,Erythema infectiosum (disorder)
1416,vascular disease,S-274101000,Aortic thromboembolism (disorder)
1417,vascular disease,S-441739009,Disorder of vein of lower extremity (disorder)
1418,vascular disease,S-195404000,Phlebitis of the femoral vein (disorder)
1419,vascular disease,S-192761004,Thrombosis transverse sinus (disorder)
1420,vascular disease,S-445351000,Isolation of right subclavian artery (disorder)
1421,vascular disease,S-735853004,Laceration of popliteal artery (disorder)
1422,vascular disease,S-446712002,Thromboembolus of precerebral artery (disorder)
1423,vascular disease,S-402833001,Sunburst telangiectases (disorder)
1424,vascular disease,S-195326003,Embolism and thrombosis of the dorsalis pedis artery (disorder)
1425,vascular disease,S-15966501000119108,Dissection of right renal artery (disorder)
1426,vascular disease,S-15649741000119100,Aneurysm of right brachial artery (disorder)
1427,vascular disease,S-82388009,"Thrombophlebitis following infusion, perfusion AND/OR transfusion (disorder)"
1428,vascular disease,S-20593006,Injury of superficial femoral artery (disorder)
1429,vascular disease,S-724435004,Congenital anomaly of descending thoracic aorta (disorder)
1430,vascular disease,S-111296006,Basilar artery embolism (disorder)
1431,vascular disease,S-438646004,Thrombophlebitis of axillary vein (disorder)
1432,vascular disease,S-230731002,Cerebral arteritis in systemic vasculitis (disorder)
1433,vascular disease,S-461371009,Congenital hypoplasia of abdominal aorta (disorder)
1434,vascular disease,S-842741000000109,Occlusion of posterior tibial artery (disorder)
1435,vascular disease,S-443904006,Corona phlebectatica (disorder)
1436,vascular disease,S-233969003,Superficial femoral artery stenosis (disorder)
1437,vascular disease,S-204427001,Persistent aortic arch convolutions (disorder)
1438,vascular disease,S-143661000119109,Non-menopausal hot flash (disorder)
1439,vascular disease,S-236492003,Congenital renal artery aneurysm (disorder)
1440,vascular disease,S-306855008,Thrombosis of axillofemoral bypass graft (disorder)
1441,vascular disease,S-16011751000119102,Thrombophlebitis of left saphenous vein (disorder)
1442,vascular disease,S-70936005,"Multi-infarct dementia, uncomplicated (disorder)"
1443,vascular disease,S-195233001,Occlusion and stenosis of anterior cerebral artery (disorder)
1444,vascular disease,S-93385000,Congenital stenosis of innominate artery (disorder)
1445,vascular disease,S-58142005,Injury of brachial vein (disorder)
1446,vascular disease,S-722930000,Neonatal thrombosis of cerebral venous sinus (disorder)
1447,vascular disease,S-38230003,Ruptured sinus of Valsalva into left ventricle (disorder)
1448,vascular disease,S-36184004,Aneurysm of renal artery (disorder)
1449,vascular disease,S-15648691000119108,Atherosclerosis of artery of left upper limb (disorder)
1450,vascular disease,S-461587006,Congenital luminal atresia of aortic arch distal to subclavian artery (disorder)
1451,vascular disease,S-307320005,Rupture axillary artery (disorder)
1452,vascular disease,S-291481000119105,Spontaneous haemorrhage of subarachnoid space from right posterior communicating artery (disorder)
1453,vascular disease,S-210894007,"Open injury, deep plantar artery (disorder)"
1454,vascular disease,S-766976003,"Pulmonary valve agenesis, tetralogy of Fallot, absence of ductus arteriosus syndrome (disorder)"
1455,vascular disease,S-67362008,Aortic aneurysm (disorder)
1456,vascular disease,S-15649821000119100,Aneurysm of artery of right upper limb (disorder)
1457,vascular disease,S-722020006,Juvenile temporal arteritis (disorder)
1458,vascular disease,S-460594002,Vascular ring with right aortic arch and left ductus arteriosus from retroesophageal diverticulum of aorta (disorder)
1459,vascular disease,S-210897000,Injury of greater saphenous vein at lower leg level (disorder)
1460,vascular disease,S-24366001,Varicose veins of lower extremity with inflammation (disorder)
1461,vascular disease,S-210845007,"Open injury, palmar artery (disorder)"
1462,vascular disease,S-195335005,Embolism and/or thrombosis of the common iliac artery (disorder)
1463,vascular disease,S-253672004,Preductal aortic stenosis (disorder)
1464,vascular disease,S-709587006,Atherosclerosis of autologous bypass graft of lower limb (disorder)
1465,vascular disease,S-204306007,Pentalogy of Fallot (disorder)
1466,vascular disease,S-210880006,"Open injury, popliteal artery (disorder)"
1467,vascular disease,S-307314009,Rupture iliac artery (disorder)
1468,vascular disease,S-153811000119105,Chronic peripheral venous hypertension with lower extremity complication (disorder)
1469,vascular disease,S-230723007,Cerebral venous thrombosis of great cerebral vein (disorder)
1470,vascular disease,S-126011000119107,Acquired caroticocavernous sinus fistula (disorder)
1471,vascular disease,S-234241007,Intra-aortic balloon infection (disorder)
1472,vascular disease,S-448092000,Vascular ring due to aberrant subclavian artery and bilateral arterial ducts (disorder)
1473,vascular disease,S-195406003,Phlebitis of the anterior tibial vein (disorder)
1474,vascular disease,S-449398002,Aortico-left ventricular tunnel with intracardiac aneurysm of septal portion (disorder)
1475,vascular disease,S-15960021000119107,Dilatation of aortic root co-occurrent and due to Marfan syndrome (disorder)
1476,vascular disease,S-733223001,Laceration of axillary artery (disorder)
1477,vascular disease,S-213044006,Mechanical complication of carotid artery bypass (disorder)
1478,vascular disease,S-402834007,Telangiectasia of nailfolds (disorder)
1479,vascular disease,S-210834009,"Open injury, brachial artery (disorder)"
1480,vascular disease,S-403724001,Telangiectasia caused by radiation damage (disorder)
1481,vascular disease,S-34881000119105,Peripheral vascular disease associated with another disorder (disorder)
1482,vascular disease,S-232039004,Central retinal vein occlusion with macular edema (disorder)
1483,vascular disease,S-15978471000119109,Thrombosis of left vertebral artery (disorder)
1484,vascular disease,S-76019006,Injury of internal jugular vein (disorder)
1485,vascular disease,S-76276001,Injury of popliteal vessels (disorder)
1486,vascular disease,S-9250002,Celiac artery compression syndrome (disorder)
1487,vascular disease,S-58309001,Phlebitis of tibial vein (disorder)
1488,vascular disease,S-737159004,Aneurysm of basilar artery (disorder)
1489,vascular disease,S-18296004,Injury of ovarian artery (disorder)
1490,vascular disease,S-16371781000119100,Cerebellar stroke (disorder)
1491,vascular disease,S-238786000,Gougerot-Ruiter purpura (disorder)
1492,vascular disease,S-361210001,Stasis purpura (disorder)
1493,vascular disease,S-84272007,Thrombosis of abdominal aorta (disorder)
1494,vascular disease,S-46286007,Lymphocytic vasculitis of skin (disorder)
1495,vascular disease,S-35386004,Cavernous sinus syndrome (disorder)
1496,vascular disease,S-266253001,Precerebral arterial occlusion (disorder)
1497,vascular disease,S-15648241000119103,Aneurysm of intracranial portion of left internal carotid artery (disorder)
1498,vascular disease,S-703331008,Arteriovenous malformation of limb (disorder)
1499,vascular disease,S-448098001,Aneurysm of aortic sinus of Valsalva with protrusion into pulmonary artery (disorder)
1500,vascular disease,S-1034003,Mesenteric-portal fistula (disorder)
1501,vascular disease,S-210870007,"Open injury, femoral vein (disorder)"
1502,vascular disease,S-36523002,Injury of posterior tibial artery (disorder)
1503,vascular disease,S-442693003,Atherosclerosis of autologous vein bypass graft of limb (disorder)
1504,vascular disease,S-51188005,Phlebitis AND/OR thrombophlebitis during OR resulting from a procedure (disorder)
1505,vascular disease,S-733225008,Laceration of axillary vein (disorder)
1506,vascular disease,S-703208005,Asymptomatic occlusion of middle cerebral artery (disorder)
1507,vascular disease,S-448744007,Aneurysm of aortic sinus of Valsalva with rupture to pulmonary artery (disorder)
1508,vascular disease,S-232041003,Central retinal vein occlusion - juvenile with neovascularization (disorder)
1509,vascular disease,S-210892006,Deep plantar blood vessel injury (disorder)
1510,vascular disease,S-132251000119101,Acute deep venous thrombosis of popliteal vein (disorder)
1511,vascular disease,S-460592003,Vascular ring with right aortic arch and left ductus arteriosus from retroesophageal diverticulum of aorta and anomalous left subclavian artery (disorder)
1512,vascular disease,S-8281003,Injury of uterine artery (disorder)
1513,vascular disease,S-312827000,Superficial femoral artery occlusion (disorder)
1514,vascular disease,S-5166001,Injury of external jugular vein (disorder)
1515,vascular disease,S-713081000,Dissection of cerebral artery (disorder)
1516,vascular disease,S-80901002,Endophlebitis of torcular Herophili (disorder)
1517,vascular disease,S-734383005,Thrombosis of left middle cerebral artery (disorder)
1518,vascular disease,S-253697000,Isolation of branch of aortic arch (disorder)
1519,vascular disease,S-447418009,Laceration of digital artery of hand (disorder)
1520,vascular disease,S-15711401000119105,Acute deep vein thrombosis of left lower limb following procedure (disorder)
1521,vascular disease,S-234037003,Superficial thrombophlebitis of basilic vein (disorder)
1522,vascular disease,S-280966008,Phlegmasia alba dolens - obstetric (disorder)
1523,vascular disease,S-15705007,Phlebitis of basilar sinus (disorder)
1524,vascular disease,S-192764007,Phlebitis cavernous sinus (disorder)
1525,vascular disease,S-12853006,Embolism of torcular Herophili (disorder)
1526,vascular disease,S-238810007,Flushing (disorder)
1527,vascular disease,S-285712005,Injury of artery of lower limb (disorder)
1528,vascular disease,S-15648321000119103,Aneurysm of extracranial portion of left internal carotid artery (disorder)
1529,vascular disease,S-238776001,Idiopathic livedo reticularis with systemic involvement (disorder)
1530,vascular disease,S-402676001,Vasoconstriction disorder of extremities (disorder)
1531,vascular disease,S-402836009,Spider telangiectasis in association with pregnancy (disorder)
1532,vascular disease,S-306856009,Thrombosis of aortic bifurcation bypass graft (disorder)
1533,vascular disease,S-472138004,Acquired tortuosity of branch of aortic arch (disorder)
1534,vascular disease,S-68708005,Injury of celiac AND/OR mesenteric arteries (disorder)
1535,vascular disease,S-292621000119100,Occlusion of right vertebral artery (disorder)
1536,vascular disease,S-234006003,Carotid artery rupture (disorder)
1537,vascular disease,S-277328007,Ruptured internal carotid-anterior communicating artery zone aneurysm (disorder)
1538,vascular disease,S-69798007,Carotid artery obstruction (disorder)
1539,vascular disease,S-735573000,Acute aortoiliac occlusion (disorder)
1540,vascular disease,S-433068007,Aneurysm of thoracic aorta (disorder)
1541,vascular disease,S-251036003,Aortic root dilatation (disorder)
1542,vascular disease,S-34037000,Retinal microaneurysm (disorder)
1543,vascular disease,S-279990005,Livedo reticularis without ulceration (disorder)
1544,vascular disease,S-713033007,Dissection of artery of upper extremity (disorder)
1545,vascular disease,S-735577004,Perforation of thoracoabdominal aorta co-occurrent and due to aneurysm of thoracoabdominal aorta (disorder)
1546,vascular disease,S-314185007,Juxtarenal aortic aneurysm (disorder)
1547,vascular disease,S-15648481000119107,Aneurysm of left common carotid artery (disorder)
1548,vascular disease,S-11263005,Vascular disease of the skin (disorder)
1549,vascular disease,S-472102006,Interruption of aortic arch between subclavian artery and common carotid artery (disorder)
1550,vascular disease,S-234061005,Internal jugular vein stenosis (disorder)
1551,vascular disease,S-734299002,Thromboembolus of external iliac artery (disorder)
1552,vascular disease,S-42970005,Nonpyogenic thrombosis of intracranial venous sinus (disorder)
1553,vascular disease,S-195229008,Non-pyogenic venous sinus thrombosis (disorder)
1554,vascular disease,S-55734000,Endophlebitis of basilar sinus (disorder)
1555,vascular disease,S-234043001,Thrombosis of vein of lower leg (disorder)
1556,vascular disease,S-313348002,Varicose veins of leg in long saphenous vein distribution with ulcer (disorder)
1557,vascular disease,S-405588004,Upper limb artery stenosis (disorder)
1558,vascular disease,S-235052000,Senile hemangioma of lip (disorder)
1559,vascular disease,S-2831000119107,Aneurysm of descending thoracic aorta (disorder)
1560,vascular disease,S-703281001,Venous telangiectases of the lower limb (disorder)
1561,vascular disease,S-128218002,Disorder of intracranial venous sinus (disorder)
1562,vascular disease,S-460956006,Anomalous insertion of ligamentum arteriosum into right pulmonary artery (disorder)
1563,vascular disease,S-18058007,Phlebitis of intracranial venous sinus (disorder)
1564,vascular disease,S-308546005,Dissection of aorta (disorder)
1565,vascular disease,S-709602009,Chronic thrombosis of superficial vein of lower limb (disorder)
1566,vascular disease,S-210843000,Injury of ulnar artery at wrist and hand level (disorder)
1567,vascular disease,S-204433005,Aplasia of aorta (disorder)
1568,vascular disease,S-18000001000004101,Stenosis of left subclavian artery (disorder)
1569,vascular disease,S-735576008,Perforation of abdominal aorta co-occurrent and due to aneurysm of abdominal aorta (disorder)
1570,vascular disease,S-7089008,Retinal phlebitis (disorder)
1571,vascular disease,S-762632005,Occlusion of left cerebellar artery by embolus (disorder)
1572,vascular disease,S-446558004,Perforation of femoral artery (disorder)
1573,vascular disease,S-14189004,Measles (disorder)
1574,vascular disease,S-132201000119100,Chronic deep venous thrombosis of iliofemoral vein (disorder)
1575,vascular disease,S-17355002,Aorto-esophageal fistula (disorder)
1576,vascular disease,S-136771000119104,Acute deep venous thrombosis of upper extremity as complication of procedure (disorder)
1577,vascular disease,S-471268000,Middle aortic syndrome (disorder)
1578,vascular disease,S-236488005,Renal artery occlusion (disorder)
1579,vascular disease,S-767309006,Double aortic arch with dominant left arch and hypoplasia of right arch (disorder)
1580,vascular disease,S-709585003,Atherosclerosis of nonautologous biological bypass graft of lower limb (disorder)
1581,vascular disease,S-713029000,Dissection of thoracoabdominal aorta (disorder)
1582,vascular disease,S-734041006,Insufficiency of mesenteric artery (disorder)
1583,vascular disease,S-132141000119106,Chronic deep venous thrombosis of lower extremity (disorder)
1584,vascular disease,S-26660001,Dilatation of aorta (disorder)
1585,vascular disease,S-302878004,Intracranial septic thrombophlebitis (disorder)
1586,vascular disease,S-445109004,Isolation of left common carotid artery (disorder)
1587,vascular disease,S-307316006,Rupture popliteal artery (disorder)
1588,vascular disease,S-54160000,Congenital aneurysm of sinus of Valsalva (disorder)
1589,vascular disease,S-302213007,Caroticocavernous sinus fistula (disorder)
1590,vascular disease,S-70405009,Aneurysm of splenic artery (disorder)
1591,vascular disease,S-285739002,Injury of deep plantar artery (disorder)
1592,vascular disease,S-253650001,Aorta to right ventricle tunnel (disorder)
1593,vascular disease,S-402831004,Telangiectasia due to prolonged vasodilatation (disorder)
1594,vascular disease,S-200208004,Varicose veins of legs in pregnancy and the puerperium with antenatal complication (disorder)
1595,vascular disease,S-95461006,Thrombophlebitis of cerebral vein (disorder)
1596,vascular disease,S-16006111000119107,Thrombophlebitis of superficial vein of bilateral upper limbs (disorder)
1597,vascular disease,S-60706008,Phlebitis of torcular Herophili (disorder)
1598,vascular disease,S-195412008,Thrombophlebitis of the anterior tibial vein (disorder)
1599,vascular disease,S-16012551000119100,Embolism of artery of right lower limb (disorder)
1600,vascular disease,S-234052005,Secondary venous insufficiency of leg (disorder)
1601,vascular disease,S-67081008,Large plaque parapsoriasis (disorder)
1602,vascular disease,S-195317001,Embolism and thrombosis of the thoracic aorta (disorder)
1603,vascular disease,S-15649361000119102,Aneurysm of left popliteal artery (disorder)
1604,vascular disease,S-707200002,Descending aorta anterior and same side as azygos vein with absent inferior vena cava (disorder)
1605,vascular disease,S-363340006,Vascular disorder of extremity (disorder)
1606,vascular disease,S-842061000000108,Occlusion of brachial artery (disorder)
1607,vascular disease,S-276271009,Unruptured aneurysm of posterior cerebral artery (disorder)
1608,vascular disease,S-239937004,Idiopathic aortitis (disorder)
1609,vascular disease,S-40276003,Embolism of precerebral artery (disorder)
1610,vascular disease,S-127014009,Diabetic peripheral angiopathy (disorder)
1611,vascular disease,S-460375006,Systemic to pulmonary collateral artery from left renal artery (disorder)
1612,vascular disease,S-14070001,Multi-infarct dementia with depression (disorder)
1613,vascular disease,S-232046008,Branch retinal vein occlusion with neovascularization (disorder)
1614,vascular disease,S-277330009,Ruptured internal carotid bifurcation aneurysm (disorder)
1615,vascular disease,S-253654005,Right aortic arch and right descending aorta (disorder)
1616,vascular disease,S-312997008,Central retinal vein occlusion - ischemic (disorder)
1617,vascular disease,S-40929003,Nevus anemicus (disorder)
1618,vascular disease,S-307322002,Rupture radial artery (disorder)
1619,vascular disease,S-186317009,Listerial cerebral arteritis (disorder)
1620,vascular disease,S-461410003,Acquired abnormality of left femoral vein (disorder)
1621,vascular disease,S-370552002,Dynamic aortic outflow tract obstruction (disorder)
1622,vascular disease,S-402903007,Roseola infantum caused by human herpesvirus 7 (disorder)
1623,vascular disease,S-447322003,Laceration of radial artery (disorder)
1624,vascular disease,S-186561002,Measles complicated by meningitis (disorder)
1625,vascular disease,S-266267005,Deep vein phlebitis and thrombophlebitis of the leg (disorder)
1626,vascular disease,S-8001000119106,Atherosclerosis of aortoiliac bypass graft (disorder)
1627,vascular disease,S-253695008,Abnormality of aortic arch branch (disorder)
1628,vascular disease,S-233974006,Brachial artery embolus (disorder)
1629,vascular disease,S-842081000000104,Occlusion of ulnar artery (disorder)
1630,vascular disease,S-95235009,Retroesophageal carotid artery (disorder)
1631,vascular disease,S-413956008,Deep vein thrombosis of leg related to intravenous drug use (disorder)
1632,vascular disease,S-405545007,Mesenteric artery stenosis (disorder)
1633,vascular disease,S-16019511000119108,Atherosclerosis of right iliac artery (disorder)
1634,vascular disease,S-718217000,Cutaneous leukocytoclastic angiitis (disorder)
1635,vascular disease,S-718602007,Hereditary arterial and articular multiple calcification syndrome (disorder)
1636,vascular disease,S-95458005,Cerebellar artery occlusion (disorder)
1637,vascular disease,S-314902007,Type 2 diabetes mellitus with peripheral angiopathy (disorder)
1638,vascular disease,S-230720005,Cerebral venous thrombosis of straight sinus (disorder)
1639,vascular disease,S-29721000119101,Aneurysm of peripheral artery (disorder)
1640,vascular disease,S-195272002,Radial artery aneurysm (disorder)
1641,vascular disease,S-450315001,Vascular ring with right aortic arch and left ligamentum arteriosum (disorder)
1642,vascular disease,S-15648921000119102,Aneurysm of left subclavian artery (disorder)
1643,vascular disease,S-135011000119102,Chronic deep venous thrombosis of internal jugular vein (disorder)
1644,vascular disease,S-26146002,Complete transposition of great vessels (disorder)
1645,vascular disease,S-413577001,Arterial thoracic outlet syndrome due to cervical rib (disorder)
1646,vascular disease,S-253663007,Vascular ring with left aortic arch (disorder)
1647,vascular disease,S-26214006,Thrombosis of retinal artery (disorder)
